ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.l.
2L,EOG0917063C,AGAP004677,157496,181213,0,1
2L,EOG091705C2,AGAP004678,203866,204956,0,1
2L,EOG091704OY,AGAP004679,208417,210276,0,1
2L,EOG091709JI,AGAP004680,271285,271815,0,1
2L,EOG09170387,AGAP004682,433503,461082,0,1
2L,EOG091701WO,AGAP004683,485737,488369,0,1
2L,EOG09170AW4,AGAP004684,493039,493543,0,1
2L,EOG09170156,AGAP004685,493633,497560,0,1
2L,EOG091703UY,AGAP004686,742521,747021,0,1
2L,EOG09170A9V,AGAP004688,1018044,1019196,0,1
2L,EOG091703DI,AGAP004689,1052326,1056900,0,1
2L,EOG09170A87,AGAP004690,1133189,1133669,0,1
2L,EOG091704KA,AGAP004691,1272628,1290444,0,1
2L,EOG091700EM,AGAP004692,1411121,1441196,0,1
2L,EOG091701PE,AGAP004693,1527686,1533479,0,1
2L,EOG091703F4,AGAP004694,1595176,1602225,0,1
2L,EOG091706W9,AGAP004695,1834222,1835398,0,1
2L,EOG091705TA,AGAP004698,1969201,1970850,0,1
2L,EOG091701ZD,AGAP004699,1974042,1976357,0,1
2L,EOG091706CK,AGAP004700,2013727,2014922,0,1
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.l.
2L,EOG091700Z5,AGAP004701,2074972,2120041,0,1
2L,EOG091700G8,AGAP004703,2248770,2253546,0,1
2L,EOG091703WH,AGAP004704,2253748,2255415,0,1
2L,EOG0917064V,AGAP004706,2305657,2306118,0,1
2L,EOG0917029B,AGAP004708,2471997,2474296,0,1
2L,EOG0917097Z,AGAP004709,2482628,2483204,0,1
2L,EOG09170BJX,AGAP004710,2483299,2483553,0,1
2L,EOG091702UG,AGAP004711,2487770,2489611,0,1
2L,EOG091704HN,AGAP004714,2573498,2574460,0,1
2L,EOG0917012T,AGAP004715,2615699,2620604,0,1
2L,EOG091706JI,AGAP004716,2624121,2627818,0,1
2L,EOG091703CE,AGAP004717,2643650,2679635,0,1
2L,EOG091705NI,AGAP004718,2687938,2714108,0,1
2L,EOG09170581,AGAP004719,2714552,2719933,0,1
2L,EOG09170510,AGAP004720,2740452,2742060,0,1
2L,EOG091703XY,AGAP004721,2749855,2751776,0,1
2L,EOG091707JY,AGAP004722,2752440,2753193,0,1
2L,EOG091709GL,AGAP004723,2756804,2760192,0,1
2L,EOG091702WQ,AGAP004724,2775211,2796481,0,1
2L,EOG091701V9,AGAP004725,2798074,2801011,0,1
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.l.
2L,EOG091702MH,AGAP004726,2805466,2807762,0,1
2L,EOG091704QE,AGAP004727,2812213,2814510,0,1
2L,EOG091707FR,AGAP004728,2824043,2831367,0,1
2L,EOG091703IB,AGAP004729,2845174,2847278,0,1
2L,EOG091706L3,AGAP004730,2865742,2866766,0,1
2L,EOG091706FK,AGAP004731,2867613,2884739,0,1
2L,EOG091700VA,AGAP004732,2898562,2906163,0,1
2L,EOG091702EE,AGAP004733,2917673,2919864,0,1
2L,EOG091702Y1,AGAP004734,2920496,2930688,0,1
2L,EOG091704T2,AGAP004735,2966120,2967435,0,1
2L,EOG0917069N,AGAP004736,2968766,2969814,0,1
2L,EOG0917054Y,AGAP004737,2970769,2972435,0,1
2L,EOG091701RQ,AGAP004738,2972794,2974434,0,1
2L,EOG091705Z0,AGAP004739,2976219,2977875,0,1
2L,EOG09170720,AGAP004740,2982984,2983914,0,1
2L,EOG091705ST,AGAP004741,2997029,2998143,0,1
2L,EOG091700OP,AGAP004742,2999465,3004703,0,1
2L,EOG09170459,AGAP004744,3021924,3025400,0,1
2L,EOG0917021E,AGAP004746,3030774,3033159,0,1
2L,EOG0917012W,AGAP004747,3034078,3037570,0,1
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.l.
2L,EOG09170C22,AGAP004748,3038051,3038283,0,1
2L,EOG091704CS,AGAP004749,3038802,3040142,0,1
2L,EOG091700ON,AGAP004751,3052358,3056687,0,1
2L,EOG0917055W,AGAP004753,3058060,3061830,0,1
2L,EOG0917045I,AGAP004754,3063136,3064661,0,1
2L,EOG091705BV,AGAP004755,3065696,3066950,0,1
2L,EOG0917056H,AGAP004756,3066973,3068278,0,1
2L,EOG09170B7V,AGAP013546,3068763,3069158,0,1
2L,EOG091706I8,AGAP004757,3069282,3070377,0,1
2L,EOG0917068J,AGAP004758,3070767,3072193,0,1
2L,EOG0917053O,AGAP004760,3080655,3081900,0,1
2L,EOG091701DC,AGAP004761,3127125,3131071,0,1
2L,EOG091704LX,AGAP004763,3152721,3153806,0,1
2L,EOG091706DB,AGAP004764,3154590,3156095,0,1
2L,EOG091701NV,AGAP004765,3156536,3158788,0,1
2L,EOG09170A6Q,AGAP028129,3158856,3159260,0,1
2L,EOG091703EK,AGAP004767,3194035,3196599,0,1
2L,EOG091703T6,AGAP004768,3288119,3322463,0,1
2L,EOG091708VT,AGAP004769,3298575,3317823,0,1
2L,EOG091706YC,AGAP004770,3312046,3312961,0,1
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.l.
2L,EOG09170A20,AGAP004771,3328939,3340228,0,0
2L,EOG091700K9,AGAP004772,3348417,3353159,0.34,0
2L,EOG091703NX,AGAP004773,3360197,3361330,0,0
2L,EOG091700FK,AGAP004774,3389141,3398032,0,0
