ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.l.
X,EOG091700ZD,AGAP000002,582,15871,0,1
X,EOG091700G5,AGAP000007,84122,88605,0,1
X,EOG091705K9,AGAP000008,91254,94031,0,1
X,EOG091700R5,AGAP000009,98087,114021,0,1
X,EOG0917059T,AGAP000010,121207,123499,0,1
X,EOG091703WU,AGAP000011,128098,133631,0,1
X,EOG091703RP,AGAP000012,146275,147744,0,1
X,EOG0917089H,AGAP000013,152263,162876,0,1
X,EOG091705XV,AGAP000014,154424,155289,0,1
X,EOG0917004I,AGAP000015,192291,201610,0,1
X,EOG091706MK,AGAP000016,204445,207141,0,1
X,EOG09170026,AGAP000017,212901,233263,0,1
X,EOG091700JN,AGAP000019,284190,288873,0,1
X,EOG0917004G,AGAP000020,290994,299270,0,1
X,EOG091706DD,AGAP013504,305355,306473,0,1
X,EOG0917025Z,AGAP000022,309369,312980,0,1
X,EOG091709DR,AGAP000021,314677,315287,0,1
X,EOG091704Y4,AGAP000023,320251,323017,0,1
X,EOG091700RO,AGAP000025,331475,336151,0,1
X,EOG091703GP,AGAP000028,362499,363971,0,1
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.l.
X,EOG091700RF,AGAP000032,408841,424966,0,0
X,EOG0917006I,AGAP000035,445028,452835,0,0
X,EOG0917004L,AGAP000037,461137,472416,0,0
X,EOG091703R5,AGAP000038,481592,483518,0,0
X,EOG091702HM,AGAP000039,494371,496095,0,0
X,EOG091702ZZ,AGAP000040,504661,509941,0,0
X,EOG091703D3,AGAP000041,512138,517675,0,0
X,EOG091700X7,AGAP000042,528363,534266,0,0
X,EOG0917020X,AGAP000043,610531,615856,0,0
X,EOG091704MR,AGAP000044,626572,628054,0,0
X,EOG09170400,AGAP000045,696886,735718,0,0
X,EOG091705V0,AGAP000046,740684,744542,0,0
X,EOG091707OL,AGAP000047,752726,754365,0,0
X,EOG091700CB,AGAP000048,780013,787862,0,0
X,EOG091709C5,AGAP012954,792020,793596,0,0
X,EOG091703QI,AGAP000049,803642,809800,0,0
X,EOG091701NU,AGAP000051,838200,840880,0,0
X,EOG091704M7,AGAP000053,842797,844087,0,0
X,EOG091700GN,AGAP000054,850501,891167,0,0
X,EOG091707QM,AGAP013447,887560,889140,0.256,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.l.
X,EOG091701PB,AGAP000055,894175,898770,0,1
X,EOG091702YJ,AGAP000056,900563,904069,0,1
X,EOG091702KL,AGAP013380,913208,917322,0,1
X,EOG091704NN,AGAP000057,921077,922938,0,1
X,EOG0917005Z,AGAP000058,932591,947534,0,1
X,EOG091702PT,AGAP000061,957981,961570,0,1
X,EOG091703GK,AGAP000062,973404,978256,0,1
X,EOG091704KH,AGAP000063,980089,983261,0,1
X,EOG0917005K,AGAP000064,993391,1000544,0,1
X,EOG0917030O,AGAP013381,1005551,1010309,0,1
X,EOG091701MW,AGAP000066,1026072,1029625,0,1
X,EOG0917069L,AGAP000068,1048365,1058699,0,1
X,EOG091706MP,AGAP000069,1060754,1062050,0,1
X,EOG09170B9V,AGAP007278,1091287,1096754,0,1
X,EOG091701F4,AGAP000070,1100127,1104999,0,1
X,EOG0917079X,AGAP000071,1113633,1115173,0,1
X,EOG091706SZ,AGAP000072,1120489,1121931,0,1
X,EOG091704UG,AGAP000073,1160877,1165193,0,1
X,EOG091705QC,AGAP013127,1205360,1206634,0,1
X,EOG091702DP,AGAP000074,1207398,1210353,0,1
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.l.
X,EOG091700O3,AGAP000075,1247090,1251709,0,1
X,EOG091704K2,AGAP000078,1264727,1266777,0,1
X,EOG091705N8,AGAP000079,1269384,1270433,0,1
X,EOG0917058K,AGAP000080,1283384,1373662,0,1
X,EOG091701TM,AGAP000081,1418822,1421698,0,1
X,EOG091702KR,AGAP000082,1424384,1426509,0,1
X,EOG091707L2,AGAP000083,1428544,1429315,0,1
X,EOG091707U0,AGAP000085,1433119,1435484,0,1
X,EOG091709BS,AGAP013099,1494724,1495941,0,1
X,EOG091700F1,AGAP000090,1521813,1527203,0,1
X,EOG091704XK,AGAP000091,1532552,1533804,0,1
X,EOG091706BH,AGAP000092,1537790,1538972,0,1
X,EOG091709EK,AGAP000093,1542045,1543016,0,1
X,EOG091709CE,AGAP013034,1545481,1546081,0,1
X,EOG0917063I,AGAP000094,1548193,1549202,0,1
X,EOG09170182,AGAP000095,1550367,1558031,0,1
X,EOG09170BLS,AGAP000096,1565828,1566134,0,1
X,EOG091705RL,AGAP000097,1574720,1576092,0,1
X,EOG091702DX,AGAP000098,1578806,1580422,0,1
X,EOG091701WZ,AGAP000099,1609322,1620721,0,1
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.l.
X,EOG0917095C,AGAP000100,1628900,1629785,0,1
X,EOG091707AQ,AGAP001493,1646671,1647834,0,1
X,EOG091702CP,AGAP000102,1735399,1738258,0,1
X,EOG09170853,AGAP000104,1739603,1740331,0,1
X,EOG091702GX,AGAP000105,1749256,1751711,0,1
X,EOG091706WU,AGAP000106,1753025,1764617,0,1
X,EOG0917014T,AGAP000107,1754584,1759112,0,1
X,EOG09170A4Z,AGAP000108,1788379,1788971,0,1
X,EOG09170B5D,AGAP000109,1792841,1793381,0,1
X,EOG091709AN,AGAP000110,1793974,1794742,0,1
X,EOG091707VX,AGAP000111,1796703,1797594,0,1
X,EOG091704RM,AGAP013390,1799290,1802435,0,1
X,EOG091700Q7,AGAP000113,1805859,1816077,0,1
X,EOG091705J7,AGAP000115,1865162,1866412,0,1
X,EOG091704NP,AGAP000116,1919638,1924926,0,1
X,EOG0917050V,AGAP000117,1931662,1935351,0,1
X,EOG091708QS,AGAP000118,1937360,1938021,0,1
X,EOG091706JM,AGAP000119,1941492,1942655,0,1
X,EOG091707QF,AGAP000120,1944405,1945264,0,1
X,EOG0917011D,AGAP000123,2001189,2014165,0,1
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.l.
X,EOG091700P3,AGAP000124,2018689,2026485,0,1
X,EOG091700H4,AGAP000126,2031552,2037491,0,1
X,EOG0917045O,AGAP013435,2043450,2045192,0,1
X,EOG0917037I,AGAP000128,2057981,2060151,0,1
X,EOG0917049U,AGAP012973,2063878,2065611,0,1
X,EOG0917011W,AGAP000129,2065894,2070048,0,1
X,EOG091700ZK,AGAP000130,2070306,2072944,0,1
X,EOG091700VN,AGAP000131,2078637,2083487,0,1
X,EOG09170AXJ,AGAP000132,2083834,2084292,0,1
X,EOG091704EX,AGAP000133,2090520,2091268,0,1
X,EOG091700HR,AGAP000136,2101775,2106316,0,1
X,EOG091702DM,AGAP000137,2108015,2110819,0,1
X,EOG091702QQ,AGAP000138,2120272,2139554,0,1
X,EOG091700DX,AGAP000139,2144313,2149187,0,1
X,EOG091702OX,AGAP000140,2149577,2152578,0,1
X,EOG091700IW,AGAP000141,2158828,2166394,0,1
X,EOG09170166,AGAP000143,2180601,2185442,0,1
X,EOG091705MY,AGAP000144,2190290,2193837,0,1
X,EOG091708L8,AGAP000145,2217741,2226824,0,1
X,EOG091701QR,AGAP000146,2310789,2318278,0,1
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.l.
X,EOG091703VC,AGAP000147,2331925,2333989,0,1
X,EOG091701VF,AGAP000149,2338747,2344382,0,1
X,EOG09170BVQ,AGAP000151,2455198,2455498,0,1
X,EOG091700DF,AGAP000153,2466316,2477593,0,1
X,EOG0917067R,AGAP013500,2481815,2483116,0,1
X,EOG091702XO,AGAP000154,2485071,2486814,0,1
X,EOG091705V6,AGAP000155,2489228,2490404,0,1
X,EOG091707PK,AGAP013158,2540054,2540863,0,1
X,EOG091706OO,AGAP000156,2734410,2735472,0,1
X,EOG0917050W,AGAP000158,2773938,2777011,0,1
X,EOG091703AB,AGAP000159,2783681,2816293,0,1
X,EOG091706YB,AGAP000160,2807479,2809031,0,1
X,EOG091701J1,AGAP000161,2822718,2830085,0,1
X,EOG09170320,AGAP000162,2832497,2836070,0,1
X,EOG091709W2,AGAP000163,2844075,2846331,0,1
X,EOG0917069X,AGAP000164,2848251,2849270,0,1
X,EOG091707UU,AGAP000165,2849465,2850865,0,1
X,EOG0917066S,AGAP000166,2853227,2855005,0,1
X,EOG091706K1,AGAP000167,2866506,2869443,0,1
X,EOG0917018Y,AGAP000168,2892774,2895064,0,1
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.l.
