ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
3L,EOG091702LR,AGAP010417,2989771,2998801,0,2.97634394256877e-13
3L,EOG091700FV,AGAP010418,3003744,3008459,0,2.97634394256877e-13
3L,EOG091702DW,AGAP010419,3009729,3011649,0,2.97634394256877e-13
3L,EOG091700ZR,AGAP010420,3012475,3016002,0.253,2.97634394256877e-13
3L,EOG091705AS,AGAP010421,3018539,3020310,0,2.97634394256877e-13
3L,EOG0917010W,AGAP010425,3130385,3131791,0,2.97634394256877e-13
3L,EOG091701LG,AGAP010426,3167933,3170606,0,2.97634394256877e-13
3L,EOG091703YH,AGAP010427,3179990,3181814,0,2.97634394256877e-13
3L,EOG091701VM,AGAP010428,3183627,3188507,0,2.97634394256877e-13
3L,EOG0917026T,AGAP010429,3189394,3192278,0,2.97634394256877e-13
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
3L,EOG0917034U,AGAP010430,3193923,3196010,0,0
3L,EOG091702EX,AGAP010432,3302477,3304596,0.894,0
3L,EOG09170ANU,AGAP010433,3305192,3305806,0,0
3L,EOG0917045S,AGAP028121,3306134,3307468,0.486,0
3L,EOG0917000K,AGAP010435,3313175,3329751,0,0
3L,EOG091700SS,AGAP010436,3337016,3361913,0,0
3L,EOG091709IC,AGAP028221,3413051,3429797,0,0
3L,EOG09170BCT,AGAP010437,3546075,3546412,0,0
3L,EOG0917055P,AGAP010438,3575181,3578798,0,0
3L,EOG091709K1,AGAP010441,3633144,3634920,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
3L,EOG09170714,AGAP010477,4179354,4180156,0,0
3L,EOG091707RR,AGAP010478,4180890,4181809,0,0
3L,EOG091703OS,AGAP010479,4182081,4183867,0,0
3L,EOG091701PT,AGAP010480,4221936,4229808,0,0
3L,EOG091702LJ,AGAP010481,4232869,4235209,0,0
3L,EOG0917056O,AGAP010482,4264846,4266440,0.65,0
3L,EOG091706LJ,AGAP010483,4266604,4267584,0.477,0
3L,EOG091702KE,AGAP010485,4764391,4783010,0,0
3L,EOG0917042H,AGAP010486,4862813,4864327,0,0
3L,EOG091700FR,AGAP028205,4903258,4907740,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
3L,EOG091704EB,AGAP010501,5058971,5060825,0,0
3L,EOG09170B2H,AGAP010502,5064846,5065320,0.282,0
3L,EOG091702YN,AGAP010503,5073429,5118821,0,0
3L,EOG091705PF,AGAP010504,5124949,5126370,0,0
3L,EOG091706JY,AGAP010506,5185540,5186359,0,0
3L,EOG0917099I,AGAP010507,5238515,5239942,0,0
3L,EOG091704AI,AGAP010508,5242049,5243711,0,0
3L,EOG091702FT,AGAP010509,5244024,5247930,0,0
3L,EOG091704I4,AGAP010510,5261100,5283161,0,0
3L,EOG0917095W,AGAP010511,5315080,5316554,0.29,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
3L,EOG09170ACK,AGAP010512,5337223,5339455,0,2.54388371159724e-14
3L,EOG0917058G,AGAP010514,5547073,5561809,0,2.54388371159724e-14
3L,EOG091707E9,AGAP010515,5567453,5568148,0,2.54388371159724e-14
3L,EOG091705CW,AGAP010516,5569184,5580440,0,2.54388371159724e-14
3L,EOG0917078G,AGAP010517,5581880,5582955,0,2.54388371159724e-14
3L,EOG0917023H,AGAP010518,5584080,5586959,0,2.54388371159724e-14
3L,EOG0917007M,AGAP010519,5618046,5629709,0,2.54388371159724e-14
3L,EOG091701KU,AGAP010530,5676680,5680085,0,2.54388371159724e-14
3L,EOG09170866,AGAP010534,5791449,5813872,0.257,2.54388371159724e-14
3L,EOG091706GG,AGAP010535,5816818,5817756,0,2.54388371159724e-14
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
3L,EOG091705KH,AGAP010593,6568940,6569730,0,0
3L,EOG091708JF,AGAP010594,6571712,6572401,0,0
3L,EOG091707WC,AGAP010595,6577198,6578217,0,0
3L,EOG091702N8,AGAP010596,6591865,6595447,0,0
3L,EOG091701LN,AGAP010597,6789190,6794637,0,0
3L,EOG09170862,AGAP010598,6844023,6869787,0,0
3L,EOG091702JE,AGAP010599,7065959,7068610,0.565,0
3L,EOG09170AEN,AGAP010600,7093689,7094197,0,0
3L,EOG091709J1,AGAP010601,7098273,7098871,0,0
3L,EOG091706B4,AGAP010602,7103762,7104326,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
3L,EOG091704ZG,AGAP010622,7356645,7357880,0,0
3L,EOG091704YG,AGAP010623,7358821,7360505,0,0
3L,EOG091705PW,AGAP010624,7363170,7364583,0,0
3L,EOG091707ZC,AGAP010625,7402080,7403827,0,0
3L,EOG091700KS,AGAP010626,7418956,7423495,0,0
3L,EOG091705PZ,AGAP010628,7468468,7482886,0,0
3L,EOG091700WY,AGAP010630,7641525,7645612,0,0
3L,EOG091701H5,AGAP010632,7655312,7670345,0.383,0
3L,EOG091702F4,AGAP010635,7722552,7724401,0,0
3L,EOG091706C7,AGAP010637,7796622,7797782,0,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
3L,EOG091700RP,AGAP010638,7837545,7849506,0,0
3L,EOG091709AZ,AGAP010640,7898432,7902665,0,0
3L,EOG091703H4,AGAP010641,7909516,7916865,0,0
3L,EOG09170BUU,AGAP010642,7927581,7927856,0,0
3L,EOG091705UJ,AGAP010644,7937007,7938312,0,0
3L,EOG091700OA,AGAP010646,7943883,7961060,0,0
3L,EOG091707JW,AGAP010647,7954213,7954764,0,0
3L,EOG091704W0,AGAP010648,7964187,7965356,0,0
3L,EOG091706KA,AGAP010649,7968501,7969835,0,0
3L,EOG091705Z3,AGAP010650,7970287,7971357,0.32,0
ctg,orthogroup,gene,start_gene,end_gene,value,adjust_p_value.j.
3L,EOG091703ZS,AGAP010653,8018339,8021381,0.266,0
3L,EOG09170039,AGAP010655,8053874,8083316,0,0
