#Gene_families	nsample	Num_leaves_tree1	Num_leaves_tree2	Norm_RFdist
EOG09170001	18990	17	17	0.00000
EOG09170006	19240	15	15	0.00000
EOG09170007	19990	15	15	0.00000
EOG09170008	6200	16	16	0.04762
EOG0917000A	15670	18	18	0.05263
EOG0917000C	19910	12	12	0.00000
EOG0917000D	19470	15	15	0.00000
EOG0917000E	18660	14	14	0.00000
EOG0917000F	19770	15	15	0.00000
EOG0917000G	19980	14	14	0.00000
EOG0917000H	17470	16	16	0.00000
EOG0917000I	19990	13	13	0.00000
EOG0917000J	18200	14	14	0.00000
EOG0917000K	20000	13	13	0.00000
EOG0917000L	19990	14	14	0.00000
EOG0917000N	19990	12	12	0.00000
EOG0917000O	20000	14	14	0.00000
EOG0917000R	19980	14	14	0.00000
EOG0917000S	18860	14	14	0.00000
EOG0917000T	8610	21	21	0.00000
EOG0917000W	19640	14	14	0.00000
EOG0917000X	19910	16	16	0.00000
EOG0917000Y	19860	14	14	0.00000
EOG09170011	19810	14	14	0.00000
EOG09170012	19800	14	14	0.00000
EOG09170013	12550	16	16	0.00000
EOG09170014	19960	12	12	0.00000
EOG09170015	19370	13	13	0.00000
EOG09170016	19450	16	16	0.00000
EOG09170017	19820	15	15	0.00000
EOG09170018	19960	14	14	0.00000
EOG09170019	19920	15	15	0.00000
EOG0917001A	8930	20	20	0.31034
EOG0917001B	20000	7	7	0.00000
EOG0917001C	19990	16	16	0.00000
EOG0917001D	18170	16	16	0.00000
EOG0917001E	19660	8	8	0.00000
EOG0917001G	19920	15	15	0.00000
EOG0917001I	9060	16	16	0.00000
EOG0917001J	19990	14	14	0.00000
EOG0917001K	19990	15	15	0.00000
EOG0917001M	19550	19	19	0.00000
EOG0917001O	12990	16	16	0.00000
EOG0917001P	19950	13	13	0.00000
EOG0917001Q	8170	19	19	0.46154
EOG0917001R	18490	15	15	0.00000
EOG0917001S	19470	15	15	0.00000
EOG0917001T	19670	11	11	0.00000
EOG0917001U	16760	18	18	0.15385
EOG0917001V	15820	15	15	0.00000
EOG0917001W	19920	14	14	0.00000
EOG0917001X	19950	14	14	0.00000
EOG0917001Y	19890	15	15	0.00000
EOG0917001Z	18690	16	16	0.00000
EOG09170020	19870	17	17	0.00000
EOG09170021	19640	14	14	0.00000
EOG09170022	14050	16	16	0.00000
EOG09170024	17360	15	15	0.00000
EOG09170025	19680	14	14	0.00000
EOG09170026	19060	15	15	0.00000
EOG09170027	19530	14	14	0.00000
EOG09170028	20000	8	8	0.00000
EOG09170029	7590	14	14	0.00000
EOG0917002A	430	15	15	0.04348
EOG0917002B	19350	15	15	0.00000
EOG0917002C	16980	15	15	0.00000
EOG0917002D	19950	15	15	0.00000
EOG0917002E	19740	14	14	0.00000
EOG0917002F	17720	15	15	0.00000
EOG0917002G	19510	16	16	0.04348
EOG0917002H	1020	24	24	0.02564
EOG0917002I	19720	14	14	0.00000
EOG0917002J	19650	14	14	0.00000
EOG0917002K	18210	15	15	0.00000
EOG0917002L	19410	15	15	0.00000
EOG0917002M	19900	13	13	0.00000
EOG0917002N	19840	14	14	0.00000
EOG0917002O	19940	16	16	0.00000
EOG0917002Q	19430	17	17	0.00000
EOG0917002R	12860	14	14	0.00000
EOG0917002S	19980	15	15	0.00000
EOG0917002T	19980	14	14	0.00000
EOG0917002U	19870	14	14	0.00000
EOG0917002V	19440	13	13	0.00000
EOG0917002W	3750	14	14	0.04762
EOG0917002X	20000	4	4	0.00000
EOG0917002Y	18960	16	16	0.00000
EOG0917002Z	19010	15	15	0.00000
EOG09170030	16960	22	22	0.00000
EOG09170031	17960	15	15	0.00000
EOG09170032	19860	15	15	0.00000
EOG09170033	990	18	18	0.00000
EOG09170034	19170	14	14	0.00000
EOG09170035	20000	14	14	0.00000
EOG09170036	19970	14	14	0.00000
EOG09170037	19020	11	11	0.00000
EOG09170038	19800	15	15	0.00000
EOG09170039	19740	14	14	0.00000
EOG0917003A	18040	15	15	0.00000
EOG0917003B	10420	15	15	0.00000
EOG0917003C	18710	15	15	0.00000
EOG0917003D	16880	18	18	0.04762
EOG0917003E	19920	15	15	0.00000
EOG0917003F	19710	14	14	0.00000
EOG0917003G	8830	15	15	0.00000
EOG0917003H	16710	16	16	0.00000
EOG0917003I	18550	15	15	0.00000
EOG0917003J	19560	14	14	0.04762
EOG0917003K	19950	14	14	0.00000
EOG0917003L	19620	14	14	0.00000
EOG0917003M	17700	16	16	0.00000
EOG0917003N	18500	14	14	0.00000
EOG0917003O	19730	14	14	0.00000
EOG0917003P	19620	15	15	0.04348
EOG0917003Q	19990	14	14	0.00000
EOG0917003R	18720	14	14	0.00000
EOG0917003S	13910	15	15	0.00000
EOG0917003T	18770	16	16	0.04000
EOG0917003U	17470	14	14	0.00000
EOG0917003V	19670	15	15	0.00000
EOG0917003W	19840	12	12	0.00000
EOG0917003X	19380	15	15	0.00000
EOG0917003Y	19460	14	14	0.00000
EOG0917003Z	20000	14	14	0.00000
EOG09170040	19980	15	15	0.00000
EOG09170041	20000	9	9	0.00000
EOG09170042	19280	13	13	0.00000
EOG09170043	15020	15	15	0.00000
EOG09170044	19950	14	14	0.00000
EOG09170045	20000	9	9	0.00000
EOG09170046	19380	15	15	0.00000
EOG09170047	19760	15	15	0.00000
EOG0917004A	19830	13	13	0.00000
EOG0917004B	19910	10	10	0.00000
EOG0917004C	19760	12	12	0.05882
EOG0917004D	1660	20	20	0.15385
EOG0917004E	18190	14	14	0.00000
EOG0917004G	19940	16	16	0.00000
EOG0917004H	16610	18	18	0.00000
EOG0917004I	20000	15	15	0.00000
EOG0917004J	19980	10	10	0.00000
EOG0917004K	19690	14	14	0.00000
EOG0917004L	19680	14	14	0.00000
EOG0917004M	19800	15	15	0.00000
EOG0917004N	19410	14	14	0.00000
EOG0917004O	17430	18	18	0.00000
EOG0917004P	18270	16	16	0.00000
EOG0917004Q	18350	16	16	0.00000
EOG0917004R	19660	14	14	0.00000
EOG0917004S	19870	14	14	0.00000
EOG0917004T	19900	13	13	0.00000
EOG0917004U	2370	16	16	0.00000
EOG0917004V	18910	17	17	0.00000
EOG0917004W	18030	21	21	0.00000
EOG0917004X	19940	14	14	0.00000
EOG0917004Y	19190	15	15	0.00000
EOG0917004Z	19810	14	14	0.00000
EOG09170050	19830	14	14	0.00000
EOG09170051	19930	14	14	0.00000
EOG09170052	8330	14	14	0.00000
EOG09170053	19250	15	15	0.04348
EOG09170055	19460	22	22	0.00000
EOG09170056	19820	14	14	0.00000
EOG09170057	19730	14	14	0.00000
EOG09170058	18490	16	16	0.00000
EOG09170059	19880	14	14	0.00000
EOG0917005A	19470	14	14	0.00000
EOG0917005B	19990	15	15	0.00000
EOG0917005C	19950	14	14	0.00000
EOG0917005D	19050	14	14	0.00000
EOG0917005E	19780	14	14	0.00000
EOG0917005F	18570	16	16	0.00000
EOG0917005G	5180	34	34	0.05085
EOG0917005H	19630	14	14	0.00000
EOG0917005I	17410	14	14	0.00000
EOG0917005J	19420	14	14	0.00000
EOG0917005K	16500	15	15	0.00000
EOG0917005L	20000	15	15	0.00000
EOG0917005M	19600	15	15	0.00000
EOG0917005N	19360	14	14	0.00000
EOG0917005O	19800	13	13	0.00000
EOG0917005P	13470	17	17	0.03704
EOG0917005Q	9030	24	24	0.00000
EOG0917005R	19770	15	15	0.00000
EOG0917005S	19770	15	15	0.00000
EOG0917005T	19010	17	17	0.00000
EOG0917005U	19910	14	14	0.00000
EOG0917005V	12250	19	19	0.00000
EOG0917005W	19340	14	14	0.00000
EOG0917005X	19650	15	15	0.00000
EOG0917005Y	17250	14	14	0.00000
EOG0917005Z	19990	15	15	0.00000
EOG09170060	19460	17	17	0.00000
EOG09170061	19280	15	15	0.00000
EOG09170062	18580	14	14	0.00000
EOG09170063	19990	14	14	0.00000
EOG09170064	16180	16	16	0.00000
EOG09170065	19560	14	14	0.00000
EOG09170066	15680	15	15	0.00000
EOG09170067	17950	14	14	0.00000
EOG09170068	19260	14	14	0.00000
EOG09170069	19750	7	7	0.00000
EOG0917006A	19930	14	14	0.00000
EOG0917006B	17140	11	11	0.00000
EOG0917006C	19760	12	12	0.00000
EOG0917006D	19680	14	14	0.00000
EOG0917006E	19640	16	16	0.00000
EOG0917006F	19660	14	14	0.00000
EOG0917006G	18900	15	15	0.00000
EOG0917006H	2470	22	22	0.11111
EOG0917006I	19860	14	14	0.00000
EOG0917006J	20000	14	14	0.00000
EOG0917006K	19530	15	15	0.00000
EOG0917006L	17850	15	15	0.09091
EOG0917006M	19340	16	16	0.00000
EOG0917006N	20000	14	14	0.00000
EOG0917006O	19740	14	14	0.00000
EOG0917006P	19760	14	14	0.00000
EOG0917006Q	19420	15	15	0.00000
EOG0917006R	19280	15	15	0.00000
EOG0917006S	19990	15	15	0.00000
EOG0917006T	19900	13	13	0.05263
EOG0917006U	19650	14	14	0.00000
EOG0917006V	19750	15	15	0.00000
EOG0917006W	17700	11	11	0.00000
EOG0917006X	19710	15	15	0.00000
EOG0917006Y	19990	11	11	0.00000
EOG0917006Z	19880	15	15	0.00000
EOG09170070	19090	15	15	0.00000
EOG09170071	19730	15	15	0.00000
EOG09170072	19630	15	15	0.00000
EOG09170073	19860	14	14	0.00000
EOG09170074	19700	15	15	0.00000
EOG09170075	18720	14	14	0.00000
EOG09170076	19950	15	15	0.00000
EOG09170077	19990	16	16	0.00000
EOG09170078	18940	14	14	0.00000
EOG09170079	19760	15	15	0.00000
EOG0917007A	19870	15	15	0.00000
EOG0917007B	18100	17	17	0.07692
EOG0917007C	20000	7	7	0.00000
EOG0917007D	17850	28	28	0.00000
EOG0917007E	19750	14	14	0.00000
EOG0917007F	19990	14	14	0.00000
EOG0917007G	19410	14	14	0.00000
EOG0917007I	19460	15	15	0.00000
EOG0917007J	19550	11	11	0.00000
EOG0917007K	19970	18	18	0.00000
EOG0917007L	19770	14	14	0.00000
EOG0917007M	19960	14	14	0.00000
EOG0917007N	8140	16	16	0.18182
EOG0917007O	20000	14	14	0.00000
EOG0917007P	19890	15	15	0.00000
EOG0917007Q	19290	7	7	0.00000
EOG0917007R	19830	15	15	0.04348
EOG0917007S	14620	17	17	0.07692
EOG0917007T	19990	16	16	0.00000
EOG0917007U	19280	15	15	0.00000
EOG0917007V	16380	20	20	0.00000
EOG0917007W	19580	15	15	0.00000
EOG0917007X	19420	17	17	0.00000
EOG0917007Y	17560	17	17	0.00000
EOG0917007Z	19720	14	14	0.00000
EOG09170080	19980	14	14	0.00000
EOG09170081	8110	18	18	0.00000
EOG09170082	19930	14	14	0.00000
EOG09170083	20000	14	14	0.00000
EOG09170084	19050	19	19	0.00000
EOG09170085	19540	15	15	0.00000
EOG09170086	14550	16	16	0.00000
EOG09170087	19410	15	15	0.00000
EOG09170088	19990	14	14	0.00000
EOG09170089	17040	23	23	0.00000
EOG0917008A	18880	15	15	0.00000
EOG0917008B	19720	15	15	0.04348
EOG0917008C	18690	14	14	0.00000
EOG0917008D	19380	10	10	0.00000
EOG0917008E	19990	14	14	0.00000
EOG0917008F	19160	14	14	0.04762
EOG0917008G	20000	14	14	0.00000
EOG0917008H	19870	14	14	0.00000
EOG0917008I	18380	4	4	NaN
EOG0917008J	19780	16	16	0.00000
EOG0917008K	19750	15	15	0.00000
EOG0917008L	19550	14	14	0.00000
EOG0917008M	19910	11	11	0.06667
EOG0917008N	19670	15	15	0.00000
EOG0917008O	19620	14	14	0.00000
EOG0917008P	19920	15	15	0.00000
EOG0917008Q	18830	19	19	0.00000
EOG0917008R	19590	14	14	0.09091
EOG0917008S	510	18	18	0.00000
